playerId,In,Ex
1572,19,8
1573,31,1
1576,31,1
1578,20,8
1579,24,4
1581,20,7
1582,24,4
1583,20,9
1584,24,5
1586,20,8
1587,24,2
1588,31,1
1589,31,1
1590,29,1
1591,19,1
1592,23,2
1593,29,3
1594,23,1
1595,19,5
1596,23,2
1597,30,2
1598,19,8
1599,31,1
1600,62,3
1601,62,1
1602,62,4
1603,19,4
1604,23,5
1605,75,1
1606,75,1
1607,75,3
1608,58,3
1609,58,3
1610,55,7
1611,55,8
1612,59,1
1613,59,1
1614,55,1
1615,56,1
1616,59,1
1617,58,1
1618,58,1
1619,58,3
1620,55,8
1621,55,5
1622,58,1
1623,58,2
1624,55,8
1625,58,1
1626,55,1
1627,55,4
1628,59,2
1629,60,4
1630,56,2
1631,56,2
1632,56,2
1633,56,1
1634,56,2
1635,56,4
1636,56,1
1637,56,2
1638,56,1
1639,56,1
1640,56,1
1641,56,3
1642,60,1
1643,56,1
1644,56,1
1645,56,4
1646,56,1
1647,56,2
1648,56,1
1649,56,1
1650,56,3
1651,56,3
1652,60,3
1653,60,3
1654,56,1
1655,56,2
1656,56,3
1657,55,6
1658,55,1
1659,56,1
1660,55,2
1661,55,1
1662,59,1
1663,56,3
1664,60,1
1665,55,3
1666,58,2
1667,55,2
1668,58,2
1669,58,1
1670,55,8
1671,55,3
1672,59,3
1673,55,8
1674,55,3
1675,59,4
1676,55,7
1677,55,2
1678,55,2
1680,56,1
1681,55,2
1682,55,6
1684,55,4
1685,56,1
1686,55,9
1687,58,5
1688,56,4
1689,58,2
1690,58,1
1691,56,1
1692,56,1
1693,56,1
1694,56,1
1695,56,1
1696,56,1
1697,58,1
1698,56,1
1699,58,1
1700,56,1
1701,58,3
1702,56,1
1703,58,1
1704,58,1
1705,56,1
1706,56,1
1707,56,1
1708,60,4
1709,56,1
1710,59,4
1711,58,1
1712,55,6
1713,58,3
1714,56,1
1715,55,5
1716,55,6
1717,55,8
1718,55,5
1719,56,1
1720,55,3
1721,58,2
1722,55,7
1723,55,7
1724,56,3
1725,55,7
1726,55,6
1727,55,7
1728,55,6
1729,55,8
1730,55,4
1731,55,4
1733,59,3
1734,55,8
1735,55,9
1736,55,4
1737,59,2
1738,55,5
1739,59,3
1740,55,9
1741,55,9
1742,59,3
1743,55,7
1744,55,9
1745,58,3
1746,58,1
1747,58,2
1748,56,1
1749,56,1
1750,56,6
1751,59,4
1752,59,3
1753,55,9
1754,55,7
1755,55,1
1756,55,8
1757,56,4
1758,58,2
1759,55,3
1760,55,2
1761,55,7
1762,55,8
1763,55,6
1764,55,1
1765,55,1
1766,55,2
1767,55,7
1768,55,2
1769,55,1
1770,56,1
1771,31,2
1772,31,2
1773,31,1
1774,31,1
1775,55,8
1776,55,4
1777,55,7
1778,55,8
1779,59,2
1780,55,3
1781,55,6
1782,21,8
1783,30,6
1784,31,1
1785,19,1
1786,23,2
1787,19,1
1788,72,3
1789,31,1
1790,19,8
1791,23,9
1792,31,2
1793,31,1
1794,31,3
1795,22,9
1796,31,2
1797,31,1
1798,31,2
1799,23,8
1800,30,10
1801,19,5
1802,23,4
1803,30,9
1804,19,1
1805,19,1
1806,28,1
1807,28,2
1808,30,2
1809,30,10
1810,28,10
1811,19,10
1812,23,9
1813,30,9
1814,20,9
1815,24,7
1816,20,9
1817,24,4
1818,31,1
1819,31,1
1820,31,2
1821,30,2
1822,28,1
1823,28,10
1824,28,12
1825,28,10
1826,28,11
1827,23,3
1828,31,2
1829,28,11
